event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,event_type_encoded,main_category,main_category_encoded,day_of_week,month,hour,day_of_year,cluster
2019-10-08 05:16:23,view,1004825,2.05301e+18,electronics.smartphone,bq,39.36,547394949,c3a4ded7-ae7e-9529-9453-64e8e3ef0fb6,2,electronics,7,1,10,5,281,0
2019-10-04 05:56:37,view,2501352,2.05301e+18,appliances.kitchen.oven,beko,257.38,513147415,339c68b1-7e6b-47cc-bd4f-3049c82779dc,2,appliances,2,4,10,5,277,0
2019-10-04 18:35:44,view,1003312,2.05301e+18,electronics.smartphone,apple,703.52,513815293,7196708c-3af6-45dd-a6e6-6f2d4b271505,2,electronics,7,4,10,18,277,0
2019-10-02 12:59:07,view,1005018,2.05301e+18,electronics.smartphone,huawei,95.82,512388419,297154b9-3db5-4f59-9113-acfd61d7db28,2,electronics,7,2,10,12,275,1
2019-10-13 14:32:18,view,4201166,2.05301e+18,appliances.environment.air_conditioner,tcl,295.22,512771890,2eff34cc-a57e-4a79-8cc3-c5d803f5ac8b,2,appliances,2,6,10,14,286,0
2019-10-17 20:02:53,view,21403526,2.05301e+18,electronics.clocks,orient,176.07,514963467,09d96faf-0b6a-480f-af44-3205a3a3a4ba,2,electronics,7,3,10,20,290,0
2019-10-09 22:36:27,view,39800124,2.08647e+18,apparel.shirt,dion,29.6,530705092,75e9c3a5-8625-4c0d-934e-2d45057b7a66,2,apparel,1,2,10,22,282,0
2019-10-14 16:37:34,view,5701093,2.05301e+18,auto.accessories.player,jvc,93.95,516403427,77397ad4-fc73-4775-b9c0-b21e00de16b5,2,auto,3,0,10,16,287,0
2019-10-19 06:15:37,view,1004158,2.05301e+18,electronics.smartphone,samsung,900.64,534483069,53c6f628-573e-4c52-b823-9c42c08db58e,2,electronics,7,5,10,6,292,0
2019-10-22 07:08:14,view,1004768,2.05301e+18,electronics.smartphone,samsung,247.36,518668399,b3023829-dcab-41fe-81b5-97a50b083f31,2,electronics,7,1,10,7,295,0
2019-10-31 05:34:28,view,6300465,2.05301e+18,appliances.kitchen.kettle,elenberg,10.27,553818819,edd9d1da-895e-469d-87ad-7009813f3dfb,2,appliances,2,3,10,5,304,0
2019-10-06 17:22:19,view,2701426,2.05301e+18,appliances.kitchen.refrigerators,haier,643.49,547752029,18d68857-0e8e-4003-92b4-0a5ea4181635,2,appliances,2,6,10,17,279,0
2019-10-16 22:47:26,view,3701025,2.05301e+18,appliances.environment.vacuum,tefal,108.09,543181850,00fd24c0-8d67-44ed-ac71-60a1a37a87de,2,appliances,2,2,10,22,289,0
2019-10-29 16:16:12,cart,6800659,2.05301e+18,computers.components.hdd,kingston,64.4,565469761,7ba7d4e9-6435-43c2-b6f2-e68268c3aa9d,0,computers,4,1,10,16,302,0
2019-10-01 14:46:39,view,1004904,2.05301e+18,electronics.smartphone,huawei,110.34,543466911,224660bd-a887-42e6-aedd-444035400c03,2,electronics,7,1,10,14,274,0
2019-10-16 03:22:49,view,1002524,2.05301e+18,electronics.smartphone,apple,537.72,519837049,7463eccc-6c55-4264-a0d7-634c1cc18282,2,electronics,7,2,10,3,289,0
2019-10-26 08:37:35,view,5700024,2.05301e+18,auto.accessories.player,pioneer,334.37,514545393,08e1b079-e877-45d5-a10a-bdedbef04599,2,auto,3,5,10,8,299,0
2019-10-09 15:25:37,view,4803878,2.05301e+18,electronics.audio.headphone,xiaomi,42.47,538373632,71eca91a-6e42-4d00-8887-4d82c248d578,2,electronics,7,2,10,15,282,0
2019-10-16 18:02:26,view,1801999,2.05301e+18,electronics.video.tv,horizont,129.99,516061105,e38f455c-4ad0-4250-beac-8bda6400c4a6,2,electronics,7,2,10,18,289,0
2019-10-28 13:30:29,view,1801691,2.05301e+18,electronics.video.tv,samsung,463.05,558124191,632a3b8a-f58a-4f07-af10-9a90020df8d7,2,electronics,7,0,10,13,301,0
2019-10-16 16:28:18,view,1004867,2.05301e+18,electronics.smartphone,xiaomi,476.2,519104273,ed0fd9f5-8487-4c17-bd4b-c49cb580cee7,2,electronics,7,2,10,16,289,0
2019-10-25 10:18:34,view,4803186,2.05301e+18,electronics.audio.headphone,harper,25.71,513240319,577251a4-35e0-4841-89df-76d586fa8080,2,electronics,7,4,10,10,298,0
2019-10-25 21:01:28,view,1004856,2.05301e+18,electronics.smartphone,samsung,130.99,564188238,5d283036-2632-43d6-abbe-24164b7ffffb,2,electronics,7,4,10,21,298,0
2019-10-04 06:14:59,view,1004739,2.05301e+18,electronics.smartphone,xiaomi,196.63,556610682,ab692823-6205-4f34-b7dd-963fcba40b91,2,electronics,7,4,10,6,277,0
2019-10-07 08:39:54,view,7005689,2.05301e+18,kids.carriage,chicco,141.55,542805280,39047353-13d2-4463-bd32-fdb7f980ed25,2,kids,9,0,10,8,280,0
2019-10-23 14:32:43,view,2700611,2.05301e+18,appliances.kitchen.refrigerators,indesit,351.76,513432813,16788387-3d43-490f-8131-2b53350368b3,2,appliances,2,2,10,14,296,1
2019-10-16 13:44:58,view,21408027,2.05301e+18,electronics.clocks,casio,44.27,535060099,50af15bc-273f-41d3-a459-d2bbe5fdfad6,2,electronics,7,2,10,13,289,0
2019-10-27 17:41:37,view,4803771,2.05301e+18,electronics.audio.headphone,sony,411.59,513224543,c108664c-12eb-4993-845d-339848cd1740,2,electronics,7,6,10,17,300,0
2019-10-10 06:30:21,view,5800694,2.05301e+18,electronics.audio.subwoofer,hertz,30.48,541648017,c686610e-dfba-443d-a598-76dd9fb06ba6,2,electronics,7,3,10,6,283,0
2019-10-11 15:14:46,view,1004741,2.05301e+18,electronics.smartphone,xiaomi,197.15,523747789,8053cec1-c3e7-4c93-99c0-f3e97396dd62,2,electronics,7,4,10,15,284,0
2019-10-02 03:17:05,view,1004321,2.05301e+18,electronics.smartphone,huawei,243.25,552275101,5eb68b51-fc61-4313-a01b-8b2a9fa9ce2f,2,electronics,7,2,10,3,275,0
2019-10-19 20:45:27,view,4804055,2.05301e+18,electronics.audio.headphone,apple,190.35,516263350,2dec1bb2-b6ac-4891-a26a-c8b5de8413dc,2,electronics,7,5,10,20,292,0
2019-10-30 04:07:26,view,10900026,2.05301e+18,appliances.kitchen.mixer,panasonic,43.01,548055976,0c2a7d56-3cb5-4f68-b15f-11f4a42b6e8b,2,appliances,2,2,10,4,303,0
2019-10-21 05:18:34,view,28720476,2.05301e+18,apparel.shoes.sandals,crosby,15.68,537739281,c233219f-dd9c-48b5-a233-daa6cb2587ab,2,apparel,1,0,10,5,294,0
2019-10-01 06:42:59,view,1801766,2.05301e+18,electronics.video.tv,artel,150.7,524154433,1851805c-28c3-491a-876c-3d3d204dba55,2,electronics,7,1,10,6,274,0
2019-10-17 22:21:05,view,1201411,2.17237e+18,electronics.tablet,huawei,346.45,513698519,26490233-676c-4746-8c79-8736cc47a3a5,2,electronics,7,3,10,22,290,0
2019-10-23 15:59:13,view,1005017,2.05301e+18,electronics.smartphone,huawei,92.87,517069569,b883431f-2b16-4bde-8a7c-9b9ec243983f,2,electronics,7,2,10,15,296,0
2019-10-14 22:48:28,view,19200155,2.05301e+18,construction.tools.saw,huter,52.23,512784238,02ced0a4-f019-4a2e-935b-ec0d1dade7a2,2,construction,5,0,10,22,287,0
2019-10-07 16:20:51,view,5600042,2.05301e+18,appliances.environment.air_heater,electrolux,84.69,513179259,910952c3-35e3-4f5c-99b5-6d94b84b0631,2,appliances,2,0,10,16,280,0
2019-10-12 03:33:14,view,1801805,2.05301e+18,electronics.video.tv,artel,239.36,531908038,0db1fc8c-6f67-4383-8922-34c0d3953848,2,electronics,7,5,10,3,285,1
2019-10-10 20:54:27,view,6700484,2.05301e+18,computers.components.videocards,palit,143.89,543963331,96928099-f4b3-4748-9b0e-caaeda681527,2,computers,4,3,10,20,283,0
2019-10-31 14:55:16,view,4801583,2.05301e+18,electronics.audio.headphone,kingston,61.48,562255715,60b36e6e-eb78-43e4-9c74-6ae8276a8bac,2,electronics,7,3,10,14,304,0
2019-10-25 17:11:07,view,1005003,2.05301e+18,electronics.smartphone,huawei,246.18,551833313,49093862-bf17-4d07-ae19-248fb717e373,2,electronics,7,4,10,17,298,0
2019-10-20 14:11:47,view,1005017,2.05301e+18,electronics.smartphone,huawei,93.95,514066699,a7f5c2d6-b3c2-40db-937b-bb8728cacad0,2,electronics,7,6,10,14,293,1
2019-10-31 11:13:54,view,1004743,2.05301e+18,electronics.smartphone,xiaomi,74.39,565090128,45308a48-eb57-48f6-b988-a541479eed55,2,electronics,7,3,10,11,304,0
2019-10-02 17:57:03,view,1801555,2.05301e+18,electronics.video.tv,lg,462.23,515188999,898399b0-3cc1-4028-b737-eaac021e963f,2,electronics,7,2,10,17,275,0
2019-10-23 11:59:49,cart,1004870,2.05301e+18,electronics.smartphone,samsung,283.23,551975393,747ed6bb-8b5d-4e13-acc3-4278779b5d92,0,electronics,7,2,10,11,296,0
2019-10-06 10:41:59,view,1004956,2.05301e+18,electronics.smartphone,xiaomi,391.11,546415216,9de33f31-393e-4436-a1e6-3834919bbff7,2,electronics,7,6,10,10,279,0
2019-10-15 17:56:07,view,1005070,2.05301e+18,electronics.smartphone,vivo,308.86,515449478,3b80ad6a-d92d-44de-ab1d-dbfbcda44776,2,electronics,7,1,10,17,288,0
2019-10-15 20:51:32,view,1005217,2.05301e+18,electronics.smartphone,xiaomi,160.85,517463325,9ccfbafc-f8df-4370-92f0-ccab6d6cbf91,2,electronics,7,1,10,20,288,0
2019-10-24 14:19:09,view,1801623,2.05301e+18,electronics.video.tv,lg,389.92,542663236,0a681f6a-c4ff-4872-b4cc-abb776cdbea6,2,electronics,7,3,10,14,297,0
2019-10-21 09:20:41,cart,1004961,2.05301e+18,electronics.smartphone,oppo,154.42,514069644,df83f839-50a1-4d50-bb50-ac25f3e5c923,0,electronics,7,0,10,9,294,0
2019-10-28 15:03:05,view,5100715,2.05301e+18,electronics.clocks,aimoto,50.3,514043898,01c80181-40bc-419c-98aa-807d728410ea,2,electronics,7,0,10,15,301,0
2019-10-12 06:00:01,view,2702331,2.05301e+18,appliances.kitchen.refrigerators,lg,527.65,542540430,92f0dbfc-45ce-4e13-9cd1-b0d6ade8ec7a,2,appliances,2,5,10,6,285,0
2019-10-27 08:02:49,view,2800174,2.05301e+18,appliances.kitchen.refrigerators,atlantic,274.91,514471898,ad7b4db7-033e-4942-bba9-a4f7d4a01822,2,appliances,2,6,10,8,300,0
2019-10-08 10:39:37,view,3601405,2.05301e+18,appliances.kitchen.washer,beko,180.16,533448771,19bf17cd-6bfe-4580-b508-97f8b3cba7f8,2,appliances,2,1,10,10,281,0
2019-10-25 04:18:36,view,1004833,2.05301e+18,electronics.smartphone,samsung,170.79,563218226,e6bb7ae7-4907-4177-ac4c-98a6af294cc8,2,electronics,7,4,10,4,298,0
2019-10-31 15:57:10,view,1801859,2.05301e+18,electronics.video.tv,kivi,153.65,565519283,b841fa26-d7cc-49f8-bfac-0c6e6cfff1e4,2,electronics,7,3,10,15,304,0
2019-10-10 14:28:40,view,1304766,2.05301e+18,computers.notebook,hp,707.84,514810092,25cf412b-41ae-4125-bd23-8ff823d53ee9,2,computers,4,3,10,14,283,1
2019-10-22 09:35:16,view,28716339,2.05301e+18,apparel.shoes,respect,115.06,513441197,2b1a6ed3-b153-4371-883a-17ad48f60355,2,apparel,1,1,10,9,295,0
